testname,N,ds,average_comparisons,max_comparisons,average_pointer_operations,max_pointer_operations,average_tree_height,max_tree_height,average_cost,max_cost
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,33,14,24,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,15,14,33,13,23,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,17,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,15,17,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,34,14,24,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,15,14,34,14,23,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,46
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,17,14,32,14,24,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,17,14,33,14,23,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,31,14,16,29,46
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,15,14,33,14,24,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,33,14,16,26,46
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,15,14,33,14,23,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,32,14,23,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,34,14,24,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,46
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,19,14,32,14,24,25,45
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,17,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,14,17,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
