testname,N,ds,average_comparisons,max_comparisons,average_pointer_operations,max_pointer_operations,average_tree_height,max_tree_height,average_cost,max_cost
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,28,32,57,26,29,47,85
"random_keys_insertion_and_deletion_deletes",10000,"BST",24,46,32,62,25,29,56,108
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5022,19636,5023,19637,4999,9999,10046,39273
"random_keys_insertion_and_deletion_inserts",10000,"BST",16,33,33,67,29,34,49,100
"random_keys_insertion_and_deletion_deletes",10000,"BST",24,51,33,70,30,34,57,118
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5002,19586,5003,19587,4999,9999,10005,39173
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,32,31,65,28,33,47,97
"random_keys_insertion_and_deletion_deletes",10000,"BST",23,49,31,66,27,33,55,114
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4923,19916,4924,19917,4999,9999,9848,39833
"random_keys_insertion_and_deletion_inserts",10000,"BST",16,32,33,65,27,33,49,97
"random_keys_insertion_and_deletion_deletes",10000,"BST",24,51,33,66,27,33,58,117
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4965,19864,4966,19865,4999,9999,9932,39729
"random_keys_insertion_and_deletion_inserts",10000,"BST",16,29,33,59,27,30,49,88
"random_keys_insertion_and_deletion_deletes",10000,"BST",25,47,33,61,27,30,59,106
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4946,19548,4947,19549,4999,9999,9894,39097
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,30,32,61,26,31,48,91
"random_keys_insertion_and_deletion_deletes",10000,"BST",23,50,33,63,27,31,56,109
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4958,19730,4959,19731,4999,9999,9918,39461
"random_keys_insertion_and_deletion_inserts",10000,"BST",17,34,35,69,30,35,53,103
